dataset,scene_id,n_frames_sampled,blur_mean,blur_min,overexposed_ratio_mean,underexposed_ratio_mean,depth_min_m,depth_max_m,depth_median_m,mesh_vertices,mesh_triangles,mesh_bbox_diagonal_m
arkitscenes,42444738,361,466.46505510978113,35.84708338313633,0.00039151544826292704,0.0045482181115824106,0.42000001668930054,8.631999969482422,1.8230000734329224,825039,,9.214022798826363
arkitscenes,42445135,363,171.46335556401885,14.414478271785711,0.0024908396823347108,0.000746153383981864,0.3230000138282776,9.289000511169434,1.5000001192092896,715961,,10.29871823994842
arkitscenes,42445872,358,231.003731397224,2.9473057786623635,0.003267313071025372,0.0016577807662651303,0.1730000078678131,9.992000579833984,1.0440000295639038,668742,,12.390029502212238
arkitscenes,42446605,262,500.9573746079751,6.350483761479457,0.0005097134422709924,0.0035116181118797704,0.11800000816583633,5.093000411987305,1.2680000066757202,484901,,10.961118477253029
arkitscenes,42897482,304,576.8602555309755,101.54622226291234,0.002518436364960252,0.001716814543071546,0.29600000381469727,7.914000511169434,1.6250001192092896,533724,,10.985730917244448
arkitscenes,42897560,1001,517.6828865323165,39.45867508608434,0.0024439265161921415,0.002240089825539044,0.203000009059906,7.156000137329102,1.1330000162124634,781757,,11.07393650081673
arkitscenes,42898006,295,593.0206276446314,5.2491650875243865,0.014477056298552261,0.008393747793079097,0.3320000171661377,9.789000511169434,1.031000018119812,297214,,8.770840198982036
arkitscenes,43649426,391,795.2881980930545,48.323642724090156,0.006832867530504051,0.010184962019794332,0.4150000214576721,7.6010003089904785,1.374000072479248,896851,,12.685663650761859
arkitscenes,43649763,223,361.82785482760875,88.02944487830003,0.0001929586778307175,0.003664755144105008,0.3440000116825104,6.660000324249268,2.011000156402588,715788,,9.33973247083869
arkitscenes,43649772,368,792.2895445433279,167.5107919536531,0.007751354272814764,0.006791598554970563,0.2460000067949295,10.218000411987305,2.802000045776367,1445100,,12.429801452987112
arkitscenes,43649787,591,522.2922655445074,81.18880452050102,0.0036157047553581497,0.007593179650045827,0.39100003242492676,8.0,1.815000057220459,1638860,,14.178935838558452
arkitscenes,43828368,679,735.5677099331477,28.16097287957867,0.020903327503681884,0.005884274467277246,0.28300002217292786,8.25,2.003000020980835,1942773,,16.771738464593916
arkitscenes,43896170,481,370.46081294975687,5.62911984283063,0.0028876438788548167,0.0032964906011781012,0.43300002813339233,7.113000392913818,1.8670001029968262,1188625,,12.848986335494608
arkitscenes,43896223,271,411.09336057782036,9.071705311122868,0.009631993292589177,0.0005601270612315498,0.32200002670288086,3.9640002250671387,1.1800000667572021,232535,,7.186901368458579
arkitscenes,44358380,700,686.5350540187493,114.60510014825398,0.0045995512462797625,0.007808779761904762,0.36100003123283386,9.632000923156738,2.9060001373291016,1481651,,19.24773087217196
arkitscenes,44796254,468,443.9080466645082,48.950906395498244,0.007067340731281161,0.006689174902065527,0.41100001335144043,7.800000190734863,2.015000104904175,1618927,,14.439517666861907
